Unnamed: 0,"Indicator name: Completion rate,  primary",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,Total,Gender,,Residence,,Wealth quintile,,,,,,,,,,,,
ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source," Total Population, one year before primary ",,,,,,
MLI,Mali,SSA,WCA,LDC,Western Africa,All, 45 , 50 , 41 , 75 , 36 , 16 , 25 , 38 , 55 , 79 , MICS 2015 ," 3,280,310 ",1666818.0,1613492.0,1440351.3179,1839958.6821,43.909,56.091
MLT,Malta,ECA,WE,,,,,,,,,,,,,,," 24,657 ",12940.0,11717.0,23361.02808,1295.97192,94.744,5.256
MHL,Marshall Islands,EAP,,,,,,,,,,,,,,,," 8,839 ",4552.0,4287.0,6876.21166,1962.78834,77.794,22.206
MRT,Mauritania,,,,Northern Africa,All, 60 , 64 , 56 , 69 , 51 , 47 , 48 , 57 , 65 , 82 , MICS 2015 ," 674,793 ",342573.0,332220.0,373342.72311,301450.27689,55.327,44.673
MUS,Mauritius,SSA,ESA,,Eastern Africa,All,,,,,,,,,,,," 88,592 ",45137.0,43455.0,36110.0992,52481.9008,40.76,59.24
MEX,Mexico,LAC,,,,, 96 , 97 , 96 , 96 , 96 , 91 , 95 , 98 , 99 , 100 , MICS 2015 ," 13,663,147 ",6978418.0,6684729.0,11030395.20457,2632751.79543,80.731,19.269
FSM,Micronesia (Federated States of),EAP,,,,,,,,,,,,,,,," 13,703 ",7102.0,6601.0,9484.773881343,4218.226118657,69.2167691844341,30.7832308155659
MCO,Monaco,ECA,WE,,,,,,,,,,,,,,,,,,,,100.0,0.0
MNG,Mongolia,EAP,,,,, 97 , 96 , 99 , 98 , 96 , 93 , 97 , 100 , 99 , 99 , MICS 2013-14 ," 294,553 ",148959.0,145594.0,202231.25321,92321.74679,68.657,31.343
MNE,Montenegro,ECA,EECA,,,, 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , MICS 2013 ," 39,252 ",20405.0,18847.0,26490.38976,12761.61024,67.488,32.512
MSR,Montserrat,LAC,,,,,,,,,,,,,,,, 476 ,226.0,250.0,43.3874,432.6126,9.115,90.885
MAR,Morocco,MENA,,,Northern Africa,All,,,,,,,,,,,," 3,798,330 ",1946222.0,1852108.0,2413155.0156,1385174.9844,63.532,36.468
MOZ,Mozambique,SSA,ESA,LDC,Southern Africa,All, 40 , 43 , 37 , 64 , 25 , 11 , 15 , 29 , 46 , 76 , DHS 2011 ," 5,993,906 ",3008136.0,2985770.0,2222180.71044,3771725.28956,37.074,62.926
MMR,Myanmar,EAP,,LDC,,, 81 , 78 , 84 , 89 , 79 , 62 , 80 , 87 , 90 , 92 , DHS 2015-16 ," 4,685,910 ",2357843.0,2328067.0,1459239.2331,3226670.7669,31.141,68.859
NAM,Namibia,SSA,ESA,,Southern Africa,All, 81 , 75 , 86 , 89 , 74 , 66 , 69 , 82 , 89 , 97 , DHS 2013 ," 408,052 ",204507.0,203545.0,212321.69716,195730.30284,52.033,47.967
NRU,Nauru,EAP,,,,,,,,,,,,,,,," 1,859 ",994.0,865.0,1859.0,0.0,100.0,0.0
NPL,Nepal,SA,,LDC,,, 78 , 79 , 76 , 83 , 70 , 75 , 74 , 72 , 78 , 91 , DHS 2016 ," 3,008,087 ",1536886.0,1471201.0,618943.98112,2389143.01888,20.576,79.424
NLD,Netherlands,ECA,WE,,,,,,,,,,,,,,," 1,116,538 ",573529.0,543009.0,1029849.98968,86688.01032,92.236,7.764
NZL,New Zealand,EAP,,,,,,,,,,,,,,,," 383,773 ",197447.0,186326.0,332727.35327,51045.64673,86.699,13.301
NIC,Nicaragua,LAC,,,,,,,,,,,,,,,," 729,883 ",375536.0,354347.0,430718.55596,299164.44404,59.012,40.988
NER,Niger,SSA,WCA,LDC,Western Africa,All, 29 , 35 , 24 , 61 , 19 , 8 , 20 , 17 , 25 , 58 , DHS 2012 ," 3,833,193 ",1954732.0,1878461.0,637306.66818,3195886.33182,16.626,83.374
NGA,Nigeria,SSA,WCA,,Western Africa,All, 80 , 81 , 79 , 93 , 73 , 55 , 72 , 84 , 93 , 97 , MICS 2016 ," 31,886,242 ",16287236.0,15599006.0,16567453.61836,15318788.38164,51.958,48.042
NIU,Niue,EAP,,,,,,,,,,,,,,,, 135 ,69.0,66.0,62.3727,72.6273,46.202,53.798
NOR,Norway,ECA,WE,,,,,,,,,,,,,,," 446,930 ",229206.0,217724.0,370835.6982,76094.3018,82.974,17.026
OMN,Oman,MENA,,,,,,,,,,,,,,,," 380,855 ",195178.0,185677.0,328586.4598,52268.5402,86.276,13.724
PAK,Pakistan,,,,,, 60 , 64 , 55 , 75 , 52 , 28 , 48 , 64 , 78 , 92 , DHS 2017-18 ," 23,126,168 ",11971975.0,11154193.0,8594840.3372,14531327.6628,37.165,62.835
PLW,Palau,EAP,,,,,,,,,,,,,,,," 1,434 ",729.0,705.0,1161.36792,272.63208,80.988,19.012
PAN,Panama,LAC,,,,, 95 , 95 , 96 , 99 , 88 , 81 , 98 , 99 , 99 , 100 , MICS 2013 ," 448,196 ",228749.0,219447.0,306628.81144,141567.18856,68.414,31.586
PNG,Papua New Guinea,EAP,,,,,,,,,,,,,,,," 1,168,569 ",603111.0,565458.0,155945.53305,1012623.46695,13.345,86.655
PRY,Paraguay,LAC,,,,, 92 , 89 , 95 , 94 , 89 , 81 , 92 , 94 , 96 , 100 , MICS 2016 ," 803,536 ",409385.0,394151.0,499662.79088,303873.20912,62.183,37.817
PER,Peru,LAC,,,,, 95 , 95 , 95 , 96 , 92 , 88 , 95 , 96 , 97 , 99 , DHS 2012 ," 3,507,387 ",1788045.0,1719342.0,2746178.79939,761208.20061,78.297,21.703
PHL,Philippines,,,,,, 92 , 89 , 95 , 93 , 91 , 78 , 92 , 94 , 97 , 98 , DHS 2017 ," 13,114,259 ",6704229.0,6410030.0,6217207.90672,6897051.09328,47.408,52.592
POL,Poland,ECA,WE,,,,,,,,,,,,,,," 2,374,454 ",1218492.0,1155962.0,1425693.41522,948760.58478,60.043,39.957
PRT,Portugal,ECA,WE,,,,,,,,,,,,,,," 584,685 ",298281.0,286404.0,387704.6235,196980.3765,66.31,33.69
QAT,Qatar,MENA,,,,,,,,,,,,,,,," 146,587 ",75079.0,71508.0,145465.60945,1121.39055,99.235,0.765000000000001
